"state","city","longitud","latitude"
"AGUASCALIENTES","Aguascalientes","-10229676165","2188231422"
"AGUASCALIENTES","Asientos","-10209116468","2223498167"
"AGUASCALIENTES","Calvillo","-10271172148","2184686043"
"AGUASCALIENTES","Cosio","-10229681065","2236099923"
"AGUASCALIENTES","Jesus Maria","-10232940528","2196079231"
"AGUASCALIENTES","Pabellon de Arteaga","-10228493146","2214684843"
"AGUASCALIENTES","Rincon de Romos","-10232937796","2222354330"
"AGUASCALIENTES","San Jose de Gracia","-10240597631","2214548325"
"AGUASCALIENTES","Tepezala","-10216701400","2222441146"
"AGUASCALIENTES","El Llano","-10196067948","2191899461"
"AGUASCALIENTES","San Francisco de los Romo","-10227426665","2207045531"
"BAJA CALIFORNIA","Ensenada","-11661832487","3186498640"
"BAJA CALIFORNIA","Mexicali","-11548580801","3265899122"
"BAJA CALIFORNIA","Tecate","-11659262189","3256023897"
"BAJA CALIFORNIA","Tijuana","-11699509920","3248138120"
"BAJA CALIFORNIA","Playas de Rosarito","-11705939685","3234539821"
"BAJA CALIFORNIA SUR","Comondu","-11163178240","2502748468"
"BAJA CALIFORNIA SUR","Mulege","-11227331791","2733447778"
"BAJA CALIFORNIA SUR","Los Cabos","-10971020066","2307587904"
"BAJA CALIFORNIA SUR","Loreto","-11135927652","2602241671"
"CAMPECHE","Calkini","-9005569195","2036951450"
"CAMPECHE","Campeche","-9054815210","1983306270"
"CAMPECHE","Carmen","-9181903477","1864086439"
"CAMPECHE","Champoton","-9073192988","1933369224"
"CAMPECHE","Hecelchakan","-9013184967","2017730096"
"CAMPECHE","Hopelchen","-8984790581","1974346703"
"CAMPECHE","Palizada","-9209447937","1825374024"
"CAMPECHE","Tenabo","-9022599867","2004524556"
"CAMPECHE","Escarcega","-9073740122","1861372009"
"CAMPECHE","Calakmul","-8939444337","1850684233"
"CAMPECHE","Candelaria","-9104665810","1819907425"
"COAHUILA DE ZARAGOZA","Acuña","-10097679049","2932635026"
"COAHUILA DE ZARAGOZA","Candela","-10065819500","2684008997"
"COAHUILA DE ZARAGOZA","Castaños","-10142964239","2678425464"
"COAHUILA DE ZARAGOZA","Cuatro Cienegas","-10205879050","2698058257"
"COAHUILA DE ZARAGOZA","Escobedo","-10141439614","2723084035"
"COAHUILA DE ZARAGOZA","Francisco I. Madero","-10327253864","2576736769"
"COAHUILA DE ZARAGOZA","Frontera","-10144573027","2692375515"
"COAHUILA DE ZARAGOZA","General Cepeda","-10147931049","2537657913"
"COAHUILA DE ZARAGOZA","Guerrero","-10038340233","2830932160"
"COAHUILA DE ZARAGOZA","Lamadrid","-10179571196","2705137866"
"COAHUILA DE ZARAGOZA","Matamoros","-10325174094","2553515816"
"COAHUILA DE ZARAGOZA","Monclova","-10143798236","2693539503"
"COAHUILA DE ZARAGOZA","Muzquiz","-10150602025","2787392929"
"COAHUILA DE ZARAGOZA","Nadadores","-10159212588","2702932211"
"COAHUILA DE ZARAGOZA","Nava","-10076130809","2843791434"
"COAHUILA DE ZARAGOZA","Parras","-10218058662","2544005869"
